-2.50	8.5003
-2.49	7.8740
-2.48	7.2486
-2.47	6.6254
-2.46	6.0053
-2.45	5.3895
-2.44	4.7790
-2.43	4.1748
-2.42	3.5780
-2.41	2.9894
-2.40	2.4099
-2.39	1.8404
-2.38	1.2818
-2.37	0.7347
-2.36	0.2001
-2.35	-0.3215
-2.34	-0.8294
-2.33	-1.3229
-2.32	-1.8016
-2.31	-2.2647
-2.30	-2.7119
-2.29	-3.1427
-2.28	-3.5567
-2.27	-3.9535
-2.26	-4.3328
-2.25	-4.6943
-2.24	-5.0378
-2.23	-5.3631
-2.22	-5.6700
-2.21	-5.9584
-2.20	-6.2282
-2.19	-6.4794
-2.18	-6.7120
-2.17	-6.9261
-2.16	-7.1216
-2.15	-7.2987
-2.14	-7.4576
-2.13	-7.5984
-2.12	-7.7213
-2.11	-7.8265
-2.10	-7.9144
-2.09	-7.9853
-2.08	-8.0393
-2.07	-8.0770
-2.06	-8.0986
-2.05	-8.1045
-2.04	-8.0952
-2.03	-8.0712
-2.02	-8.0328
-2.01	-7.9805
-2.00	-7.9149
-1.99	-7.8364
-1.98	-7.7455
-1.97	-7.6428
-1.96	-7.5288
-1.95	-7.4041
-1.94	-7.2692
-1.93	-7.1246
-1.92	-6.9710
-1.91	-6.8090
-1.90	-6.6390
-1.89	-6.4616
-1.88	-6.2775
-1.87	-6.0872
-1.86	-5.8913
-1.85	-5.6903
-1.84	-5.4848
-1.83	-5.2753
-1.82	-5.0625
-1.81	-4.8467
-1.80	-4.6287
-1.79	-4.4088
-1.78	-4.1876
-1.77	-3.9656
-1.76	-3.7432
-1.75	-3.5210
-1.74	-3.2994
-1.73	-3.0789
-1.72	-2.8598
-1.71	-2.6425
-1.70	-2.4276
-1.69	-2.2153
-1.68	-2.0060
-1.67	-1.8000
-1.66	-1.5978
-1.65	-1.3995
-1.64	-1.2055
-1.63	-1.0160
-1.62	-0.8314
-1.61	-0.6518
-1.60	-0.4774
-1.59	-0.3085
-1.58	-0.1452
-1.57	0.0123
-1.56	0.1639
-1.55	0.3094
-1.54	0.4488
-1.53	0.5819
-1.52	0.7086
-1.51	0.8290
-1.50	0.9430
-1.49	1.0506
-1.48	1.1517
-1.47	1.2463
-1.46	1.3345
-1.45	1.4164
-1.44	1.4919
-1.43	1.5612
-1.42	1.6243
-1.41	1.6812
-1.40	1.7322
-1.39	1.7773
-1.38	1.8166
-1.37	1.8503
-1.36	1.8785
-1.35	1.9013
